J,R,A,B,M,N
1,1.88342,2,1,3,4
2,0.413175,2,1,4,5
3,0.146969,2,1,5,6
4,0.058276,2,1,6,7
5,0.00988552,2,1,9,10
6,0.00471219,2,1,10,11
7,1.95903,3,2,4,5
8,0.369074,3,2,5,6
9,0.115508,3,2,6,7
10,0.015899,3,2,9,10
11,0.0071773,3,2,10,11
12,0.0043935,3,2,11,12
13,0.690597,3,1,5,7
14,0.133321,3,1,7,9
15,0.0377529,3,1,9,11
16,0.0118732,3,1,11,13
17,0.00459134,3,1,13,15
18,0.00210111,3,1,15,17
19,0.00056161,3,1,17,19
20,0.00120768,3,1,19,21
21,1.5825,4,3,5,6
22,0.284886,4,3,6,7
23,0.0276127,4,3,9,10
24,0.0120916,4,3,10,11
25,0.00714588,4,3,11,12
26,0.00389994,4,3,12,13
27,0.0310282,4,2,10,12
28,0.00202825,4,2,16,18
29,0.000948434,4,2,18,20
30,0.000743447,4,2,20,22
31,0.353339,4,1,7,10
32,0.0465799,4,1,10,13
33,0.0107655,4,1,13,16
34,0.00298089,4,1,16,19
35,0.00213933,4,1,19,22
36,0.000569812,4,1,22,25
37,0.000369939,4,1,25,28
38,0.000181975,4,1,28,31
39,1.45828,5,4,6,7
40,0.0606003,5,4,9,10
41,0.0253966,5,4,10,11
42,0.0142836,5,4,11,12
43,0.00770476,5,4,12,13
44,0.62473,5,3,7,9
45,0.127666,5,3,9,11
46,0.0331938,5,3,11,13
47,0.0109802,5,3,13,15
48,0.00494228,5,3,15,17
49,0.00226385,5,3,17,19
50,0.00139539,5,3,19,21
51,0.000438289,5,3,21,23
52,0.00388926,5,2,17,20
53,0.00138779,5,2,20,23
54,0.000716656,5,2,23,26
55,0.000444447,5,2,26,29
56,0.00016048,5,2,29,32
57,0.208591,5,1,9,13
58,0.0227526,5,1,13,17
59,0.00544806,5,1,17,21
60,0.00140636,5,1,21,25
61,0.000647764,5,1,25,29
62,0.000319507,5,1,29,33
63,0.000213688,5,1,33,37
64,0.000139227,5,1,37,41
65,0.139342,6,5,9,10
66,0.0531057,6,5,10,11
67,0.0285826,6,5,11,12
68,0.014878,6,5,12,13
69,0.121876,6,4,10,12
70,0.0056218,6,4,16,18
71,0.00261876,6,4,18,20
72,0.00124955,6,4,20,22
73,0.000760813,6,4,22,24
74,0.368119,6,3,9,12
75,0.0488596,6,3,12,15
76,0.0149851,6,3,15,18
77,0.00426573,6,3,18,21
78,0.00133932,6,3,21,24
79,0.000630613,6,3,24,27
80,0.000437365,6,3,27,30
81,0.00028155,6,3,30,33
82,0.00582504,6,2,18,22
83,0.0015995,6,2,22,26
84,0.000675066,6,2,26,30
85,0.000137253,6,2,30,34
86,0.000370929,6,2,34,38
87,8.84115e-05,6,2,38,42
88,0.124452,6,1,11,16
89,0.0136766,6,1,16,21
90,0.00246958,6,1,21,26
91,0.000884068,6,1,26,31
92,0.000441486,6,1,31,36
93,0.000240329,6,1,36,41
94,0.000164111,6,1,41,46
95,0.00022556,6,1,46,51
96,0.297731,7,6,9,10
97,0.0988735,7,6,10,11
98,0.048611,7,6,11,12
99,0.0240841,7,6,12,13
100,0.00220339,7,6,15,16
101,0.590958,7,5,9,11
102,0.115923,7,5,11,13
103,0.0328693,7,5,13,15
104,0.0128603,7,5,15,17
105,0.00544353,7,5,17,19
106,0.00240538,7,5,19,21
107,0.000863911,7,5,21,23
108,0.000824286,7,5,23,25
109,0.316636,7,4,10,13
110,0.0489465,7,4,13,16
111,0.0134496,7,4,16,19
112,0.00392518,7,4,19,22
113,0.00143,7,4,22,25
114,0.0006598,7,4,25,28
115,0.000440989,7,4,28,31
116,0.000221779,7,4,31,34
117,0.192377,7,3,11,15
118,0.0262613,7,3,15,19
119,0.005096,7,3,19,23
120,0.00183421,7,3,23,27
121,0.000738034,7,3,27,31
122,0.000373007,7,3,31,35
123,0.000252643,7,3,35,39
124,0.000190667,7,3,39,43
125,0.117509,7,2,12,17
126,0.01457,7,2,17,22
127,0.00240221,7,2,22,27
128,0.00103881,7,2,27,32
129,0.000425165,7,2,32,37
130,0.000284195,7,2,37,42
131,0.000178094,7,2,42,47
132,0.000152194,7,2,47,52
133,0.0776099,7,1,13,19
134,0.00702596,7,1,19,25
135,0.00167933,7,1,25,31
136,0.000621396,7,1,31,37
137,0.000249974,7,1,37,43
138,0.000223706,7,1,43,49
139,0.000138667,7,1,49,55
140,0.491766,9,7,11,13
141,0.107622,9,7,13,15
142,0.0379492,9,7,15,17
143,0.0115082,9,7,17,19
144,0.00710906,9,7,19,21
145,0.00163114,9,7,21,23
147,0.0017159,9,7,25,27
148,0.269825,9,6,12,15
149,0.0663977,9,6,15,18
150,0.0129982,9,6,18,21
151,0.00270625,9,6,21,24
152,0.000890348,9,6,24,27
153,0.00197449,9,6,27,30
154,0.000887616,9,6,30,33
156,0.163686,9,5,13,17
157,0.0404408,9,5,17,21
158,0.00270731,9,5,21,25
159,0.00459029,9,5,25,29
160,0.000586929,9,5,29,33
162,0.000982878,9,5,37,41
163,0.000140437,9,5,41,45
164,0.0311372,9,4,19,24
165,0.00415964,9,4,24,29
166,9.10085e-06,9,4,29,34
167,0.00116988,9,4,34,39
169,0.00093183,9,4,44,49
171,0.0851777,9,3,15,21
172,0.00573412,9,3,21,27
173,0.00358035,9,3,27,33
174,0.000476324,9,3,33,39
175,0.000774148,9,3,39,45
176,0.00038637,9,3,45,51
177,0.0533962,9,2,16,23
178,0.00539638,9,2,23,30
179,0.00127477,9,2,30,37
180,0.000518824,9,2,37,44
181,0.00115137,9,2,44,51
